latitude,longitude,ts
54.525963,-105.255119,19:31.2
56.130367,-106.346771,02:02.5
31.121189,-95.712891,49:26.8
37.09024,133.775131,57:44.6
-25.274399,174.885971,30:51.7
-40.900558,114.727669,17:28.0
4.535277,138.252933,40:00.0
36.204823,11.5610729,24:37.2
1.352083,103.819839,33:12.6
48.106802,11.4775641,18:06.7
48.1507121,11.6223094,04:59.1
48.1781761,11.594192,45:00.8
52.4031006,16.9120279,24:55.4
48.1068437,11.4774777,42:57.8
48.1500127,11.6222262,57:39.8
48.1068612,11.477472,15:59.1
48.1069313,11.4775378,16:03.9
48.1338774,11.5685365,06:36.0
51.6637587,-0.3968874,08:29.8
48.2677319,11.6649222,40:37.4
48.8797359,2.3435647,12:18.4
48.1309591,11.5950168,22:06.1
48.1068117,11.4773606,40:59.0
10.0265684,76.3080673,52:05.0
48.1801459,11.5535152,50:05.4
48.1072183,11.4774178,44:54.8
48.1067633,11.4773537,07:30.2
48.1085403,11.7155186,51:46.6
48.1067633,11.4773537,02:25.9
48.1068686,11.4772696,55:50.7
48.1068199,11.4773768,16:29.7
48.1421035,17.1153954,29:54.6
48.1345699,11.565834,54:17.6
48.1167497,11.5214754,35:58.6
52.3772976,9.7419984,33:06.2
48.1327074,11.6092092,07:30.0
48.1388302,11.5649199,14:53.2
48.3652059,11.1177671,24:37.0
48.1470198,11.56122,58:49.0
23.5981242,58.2871355,23:00.9
48.1068231,11.4774423,44:53.0
48.1067683,11.4773044,16:07.7
48.1471292,11.5612623,31:39.0
48.2624453,11.6684369,37:33.4
48.1623607,11.5536753,19:57.3
48.1470655,11.5611532,59:28.0
48.1073469,11.4773771,45:48.3
52.368483,9.7355078,39:11.1
48.1469769,11.5611597,39:59.1
48.1469842,11.5611637,19:00.6
48.1507121,11.6223094,55:16.6
48.1470176,11.5611101,07:38.0
46.5185384,6.5619927,20:23.0
48.2626001,11.6686636,10:43.7
48.1326783,11.5300268,15:48.0
48.1802036,11.5534913,45:11.7
48.2625386,11.6690404,29:38.8
48.1068468,11.4773911,06:02.4
48.1068126,11.4775049,58:46.5
48.1469714,11.5611921,32:55.7
48.1068407,11.477372,13:32.7
48.1280668,11.6080488,40:57.4
48.1884573,11.6082678,09:22.1
48.1068231,11.4774423,29:31.6
48.1802076,11.553459,03:47.7
48.7648189,9.1687113,48:58.0
48.1311537,11.5401064,04:34.8
48.1304034,11.5974781,01:36.8
48.2678741,11.6651984,40:17.9
48.1067642,11.4773594,06:11.0
48.1801523,11.5534975,01:45.4
48.1067969,11.4774201,44:49.0
48.1068081,11.4774902,21:19.5
48.106806,11.4773198,24:55.5
48.1068238,11.4775442,01:08.5
48.1470349,11.5611355,41:29.0
60.1691882,24.9555162,02:32.2
50.8805068,7.1202034,01:06.2
48.1339674,11.5685799,14:50.6
48.1068344,11.477389,49:44.0
22.545494,88.3467048,59:43.0
48.1415317,11.5592284,26:20.4
9.5942781,76.5534386,26:30.1
48.1470473,11.5611294,51:11.2
46.0520872,14.5127016,44:14.3
48.1305647,11.5958968,10:37.1
48.1069512,11.4773406,14:13.0
48.106813,11.4773911,44:38.0
48.1470509,11.5611276,06:54.0
53.1683177,8.6518468,49:46.1
47.5084949,19.0458127,08:50.5
48.106695,11.477544,49:30.7
48.1801649,11.553508,30:19.6
51.3406744,9.4885545,27:51.8
48.1067904,11.4773776,35:35.0
48.1393644,11.5638367,30:24.0
48.1468663,11.5779023,53:06.3
48.1337734,11.5686733,14:28.8
48.2395445,11.6385074,43:26.2
48.1338579,11.5687841,58:24.4
48.1068197,11.4775913,09:33.4
48.153951,11.5824717,30:43.3
48.1067656,11.4774369,31:40.0
48.1470366,11.5611367,50:37.3
48.1068316,11.4774103,47:20.3
48.1068087,11.4774296,09:06.0
50.8533899,4.3682995,17:12.0
40.4276259,-3.6987219,14:29.0
48.1613911,11.588581,54:52.9
48.1068501,11.4775217,14:18.9
50.1079133,8.6655776,26:43.4
48.1471086,11.5613067,42:40.7
48.2558614,11.657691,50:22.7
48.2678734,11.6652533,39:31.2
48.2672652,11.6479365,08:57.5
51.4817918,-3.1798138,01:12.0
48.1068731,11.4774704,09:56.2
48.112598,11.7038327,51:35.5
9.9348505,76.3777956,29:40.0
48.1471153,11.5611846,52:13.0
48.1407079,11.5704211,06:40.5
35.9144882,14.498403,43:19.0
48.1484549,11.5591946,34:41.8
48.1068106,11.477468,07:47.3
48.1470109,11.5610276,26:16.0
48.1469985,11.5611471,17:46.5
48.7891942,9.1951669,51:15.0
9.9353626,76.3777449,30:16.9
48.1068156,11.4774151,06:37.3
48.1453568,11.4818838,34:27.3
48.1801868,11.5535349,47:08.8
48.1470598,11.5611168,22:08.5
48.1069243,11.4774538,00:43.8
48.1068469,11.4774904,17:18.6
48.1341938,11.5670196,11:55.7
48.1067972,11.4774702,43:50.2
48.2688257,11.6614288,47:47.2
45.4717636,12.1992917,01:52.5
48.1470431,11.5611282,46:44.3
48.1470458,11.5611214,10:49.0
50.897248,4.3363483,39:12.4
48.1068506,11.4774488,45:45.6
48.1470685,11.5610532,24:26.0
48.1069022,11.4774758,03:49.3
37.7389508,-25.6609392,30:20.0
48.147217,11.5612566,59:01.0
49.6040128,6.1310699,44:46.0
48.1069147,11.4774166,00:52.9
48.1067488,11.4772261,07:05.8
48.1067904,11.4773776,30:54.9
48.1069029,11.4774908,54:16.5
48.1068307,11.4774048,43:35.6
48.1345096,11.5880499,14:35.6
48.1583291,11.5720971,04:34.2
48.1103763,11.4757099,02:39.2
48.1469886,11.5611135,53:40.3
48.2626748,11.6671747,36:02.6
48.1338898,11.5689642,06:48.5
48.1069313,11.4775378,41:38.3
